Ticker,MarketCap,BookValue,InvestmentGrowth,OperatingProfitability(%)
SJM,11776919814.26,56.799,-0.13369044624316231,2912903396.1865525
SW,25461804171.72,35.186,2.1142979147391645,3984539305.4055595
SNA,20032235131.48,114.365,0.06527960692938913,1160932103.3532987
SOLV,12651264807.58,28.748,0.03686437638958617,3603728955.057743
SO,103834186694.9,32.179,0.0419791719000079,21964635321.17219
LUV,25592754099.100002,15.48,-0.13893333333333333,2764857881.136951
SWK,14243221289.439999,59.788,-0.07669520533473069,
SBUX,111070357000.0,-7.364,0.0217107593341268,-48625746876.69745
STT,35705227421.58,87.008,0.1883279844444893,
STLD,28241681382.01,61.508,0.001798513859952966,
STE,24582505016.25,72.931,-0.08287338310150758,1317464452.7018688
SYK,145509714895.25,58.614,0.1134020618556701,8631043777.937012
SMCI,19419237255.760002,11.674,0.42665354649640974,10733201987.322254
SYF,25503138990.230003,44.744,-0.003080451687970334,7938494546.754873
SNPS,84168531547.64,152.304,2.688701265095256,600724209.4757853
